Playable proof: fly into a storm front (T107).

storm: a low 3971 Pa deep at 32.79,-13.09, t=18000 s; its severe edge 846 km from the centre
flight: from 15 km outside the edge, 60 km in, 700 m above the ground at 200 m/s
entry at 78.1 s, 15197 m past the start
visibility 6.9 km before, 2.9 km after; changed at 80.7 s
gusts 0.2 m/s before, 8.1 m/s after; changed at 86.0 s
loudness 0.47 before, 0.66 after (wind and thunder); changed at 84.9 s
from orbit: the clouds are drawn over a low 0.000 degrees from the storm flown into

  s      edge m   severity  vis km  gust m/s  loud  thunder
  0.7    -14913     0.00      7.0      0.0    0.47  0
  2.8    -14508     0.00      7.0      0.2    0.47  0
  4.9    -14098     0.00      7.0      0.4    0.47  0
  6.9    -13699     0.00      7.0      0.3    0.47  0
  9.0    -13280     0.00      7.0      0.2    0.47  0
 11.5    -12857     0.00      7.0      0.1    0.47  0
 13.6    -12441     0.00      7.0      0.6    0.47  0
 15.7    -12032     0.00      6.9      0.3    0.47  0
 17.8    -11616     0.00      6.9      0.2    0.47  0
 19.9    -11201     0.00      6.9      0.0    0.47  0
 21.9    -10803     0.00      6.9      0.4    0.47  0
 24.0    -10392     0.00      6.9      0.3    0.47  0
 26.1     -9985     0.00      6.9      0.2    0.47  0
 28.3     -9559     0.00      6.9      0.1    0.47  0
 30.4     -9157     0.00      6.9      0.1    0.47  0
 32.4     -8751     0.00      6.9      0.4    0.47  0
 34.5     -8345     0.00      6.9      0.3    0.47  0
 36.6     -7936     0.00      6.9      0.2    0.47  0
 38.6     -7533     0.00      6.9      0.2    0.47  0
 40.8     -7125     0.00      6.9      0.5    0.47  0
 42.9     -6707     0.00      6.9      0.2    0.47  0
 45.0     -6296     0.00      6.9      0.2    0.47  0
 47.1     -5888     0.00      6.9      0.2    0.47  0
 49.1     -5484     0.00      6.9      0.1    0.47  0
 51.2     -5075     0.00      6.9      0.0    0.47  0
 53.3     -4665     0.00      6.9      0.6    0.47  0
 55.4     -4248     0.00      6.9      0.3    0.47  0
 57.5     -3844     0.00      6.9      0.2    0.47  0
 59.6     -3430     0.00      6.9      0.3    0.47  0
 61.8     -3006     0.00      6.9      0.2    0.47  0
 63.9     -2592     0.00      6.9      0.3    0.47  0
 66.0     -2180     0.00      6.9      0.2    0.47  0
 68.1     -1760     0.00      6.9      0.1    0.47  0
 70.2     -1341     0.00      6.9      0.1    0.47  0
 72.3      -934     0.00      6.9      0.6    0.47  0
 74.4      -519     0.00      6.9      0.1    0.47  0
 76.6      -104     0.00      6.9      0.2    0.47  0
 78.6       295     0.04      6.4      0.9    0.46  0
 80.7       716     0.14      4.9      1.7    0.48  0
 82.8      1123     0.25      4.1      2.5    0.56  0
 84.9      1531     0.35      3.6      4.1    0.60  0
 87.0      1943     0.45      3.2      7.3    0.76  0
 89.1      2345     0.50      3.0     10.1    0.94  0
 91.1      2753     0.50      3.0      9.4    0.62  0
 93.2      3162     0.50      3.0      5.6    0.42  0
 95.3      3561     0.50      3.0      4.6    0.60  0
 97.4      3981     0.50      3.0      9.6    0.89  0
 99.5      4392     0.50      3.0     13.0    0.60  0
101.7      4811     0.50      3.0      6.1    0.24  0
103.8      5231     0.50      3.0     11.8    0.26  0
105.9      5646     0.51      3.0      9.9    0.38  0
108.1      6068     0.51      3.0      6.0    0.48  0
110.2      6480     0.51      3.0      2.9    0.35  0
112.3      6890     0.51      3.0      8.6    0.24  0
114.4      7303     0.51      3.0      9.2    0.27  0
116.5      7716     0.51      3.0      9.2    0.32  0
118.6      8131     0.51      3.0     11.3    0.29  0
120.7      8529     0.51      3.0     11.6    0.47  0
122.8      8943     0.51      3.0      5.9    0.88  0
124.9      9353     0.51      3.0      4.7    0.85  0
127.0      9772     0.51      3.0      2.0    0.42  0
129.1     10186     0.51      3.0      9.7    0.38  0
131.2     10589     0.51      3.0      2.8    0.98  0
133.4     11013     0.51      3.0     10.9    1.00  0
135.5     11426     0.51      3.0     14.8    1.00  0
137.6     11840     0.51      3.0      6.8    0.44  0
139.7     12251     0.51      3.0      1.8    0.47  0
141.8     12671     0.51      3.0      7.5    0.78  0
144.0     13100     0.51      3.0     11.5    0.79  0
146.2     13520     0.51      3.0      9.2    0.65  0
148.2     13925     0.51      3.0     10.0    0.55  0
150.2     14322     0.51      3.0      9.5    0.41  0
152.4     14739     0.51      3.0      7.8    0.26  0
154.4     15143     0.51      3.0      6.6    0.17  0
156.5     15554     0.51      3.0      9.4    0.32  2
158.6     15960     0.51      3.0      7.4    0.60  2
160.7     16369     0.52      3.0      7.5    0.41  2
162.9     16776     0.52      3.0     10.6    0.30  2
165.0     17191     0.52      3.0     16.3    0.33  2
167.1     17600     0.52      2.9      8.5    0.78  2
169.1     18004     0.52      2.9      5.0    0.96  2
171.3     18411     0.52      2.9      3.6    0.60  3
173.4     18823     0.52      2.9      7.8    0.54  3
175.5     19232     0.52      2.9      9.5    0.77  3
177.6     19653     0.52      2.9     11.7    0.83  3
179.7     20067     0.52      2.9      8.5    0.65  3
181.8     20466     0.52      2.9      5.5    0.63  3
183.9     20878     0.52      2.9      7.7    0.69  3
186.1     21245     0.52      2.9      6.2    0.23  3
188.1     21654     0.52      2.9      7.3    0.18  3
190.3     22078     0.52      2.9      8.0    0.37  3
192.4     22486     0.52      2.9      6.2    0.79  3
194.5     22902     0.52      2.9     11.1    0.53  3
196.7     23323     0.52      2.9      6.3    0.17  3
198.8     23742     0.52      2.9     13.2    0.12  3
200.9     24158     0.52      2.9     10.8    0.39  3
203.0     24562     0.52      2.9      7.3    0.86  3
205.1     24978     0.52      2.9     10.8    0.67  3
207.2     25378     0.52      2.9     10.6    0.43  3
209.3     25803     0.52      2.9      6.7    0.56  3
211.5     26218     0.52      2.9      5.4    0.80  3
213.6     26634     0.52      2.9      4.9    0.64  3
215.6     27038     0.52      2.9      4.5    0.71  3
217.7     27451     0.53      2.9      8.3    0.96  3
219.9     27867     0.53      2.9     13.6    0.98  3
222.0     28276     0.53      2.9     10.0    0.55  3
224.1     28670     0.53      2.9      8.0    0.34  3
226.2     29084     0.53      2.9      4.8    0.54  3
228.3     29503     0.53      2.9     10.0    0.78  3
230.4     29904     0.53      2.9      9.8    0.37  3
232.6     30331     0.53      2.9      5.2    0.25  3
234.7     30746     0.53      2.9     14.2    0.24  3
236.8     31156     0.53      2.9     10.7    0.35  3
238.9     31567     0.53      2.9      4.7    0.43  3
241.0     31974     0.53      2.9      6.9    0.31  3
243.0     32378     0.53      2.9     12.0    0.26  3
245.1     32780     0.53      2.9      8.8    0.43  3
247.2     33199     0.53      2.9      8.8    0.44  3
249.3     33606     0.53      2.9      9.5    0.46  3
251.4     34015     0.53      2.9      6.4    0.81  4
253.4     34421     0.53      2.9      7.0    1.00  4
255.5     34827     0.53      2.9     10.0    0.74  4
257.6     35235     0.53      2.9      3.7    0.39  5
259.6     35644     0.53      2.9      1.8    0.66  5
261.8     36056     0.53      2.9     10.6    1.00  5
263.9     36463     0.53      2.9     21.0    1.00  5
265.9     36872     0.53      2.9     11.9    0.30  5
268.0     37273     0.53      2.9      3.9    0.17  5
270.0     37682     0.53      2.9      3.6    0.39  5
272.2     38090     0.54      2.9      8.3    0.49  5
274.2     38497     0.54      2.9      8.1    0.30  5
276.3     38904     0.54      2.9      9.6    0.22  5
