Climate along a meridian, pole to equator. T051.

Sea-level temperature is the latitude band alone and is the
quantity the acceptance is about. Surface temperature includes
the lapse rate, so it is NOT monotonic and should not be: a
mountain at the equator is colder than a beach at forty.

planet radius 6344 km, sea level 0.14, peak 9.0 km

relief survey, 16110 points: lowest -4725 m, highest 2457 m
land is 31.0% of them; land altitude p50 251 m, p90 692 m, p99 1222 m
a range here is a local peak 300 m above both neighbours

height terms over land (mountains = ridges * land^1.4 * province):
  ridges     p50 0.000  p90 0.096  p99 0.599  max 1.000
  province   p50 0.332  p90 0.773  p99 1.000  max 1.000
  land       p50 0.111  p90 0.298  p99 0.494  max 0.581
  mountains  p50 0.000  p90 0.001  p99 0.063  max 0.333
  ridge field before the clamp, min -1.0000 max 0.4399, deciles:
    -0.8383 -0.7311 -0.6385 -0.5646 -0.4926 -0.4297 -0.3566 -0.2708 -0.1388 

--- meridian 0 degrees ---
  lat   alt m   sea T   surf T   moist   wind
   90     -67   -28.9    -28.9   0.996   westerly
   89     103   -28.5    -29.2   0.646   easterly
   88     260   -28.1    -29.7   0.200   easterly
   86     343   -27.5    -29.8   0.118   easterly
   85     399   -27.0    -29.5   0.220   easterly
   84     719   -26.3    -31.0   0.139   easterly
   82     460   -25.7    -28.6   0.027   easterly
   81     414   -25.0    -27.7   0.177   easterly
   80     328   -24.4    -26.6   0.198   easterly
   79     434   -23.8    -26.7   0.116   easterly
   78     438   -23.2    -26.1   0.225   easterly
   76     156   -22.6    -23.6   0.337   easterly
   75     123   -21.9    -22.7   0.255   easterly
   74     223   -21.3    -22.7   0.171   easterly
   72     259   -20.5    -22.2   0.126   easterly
   71     304   -19.8    -21.8   0.255   easterly
   70     278   -19.0    -20.8   0.186   easterly
   69     345   -18.2    -20.4   0.174   easterly
   68     329   -17.3    -19.4   0.184   easterly
   66     245   -16.4    -18.0   0.204   easterly
   65     271   -15.5    -17.2   0.115   easterly
   64     153   -14.5    -15.5   0.148   easterly
   62     126   -13.5    -14.3   0.262   easterly
   61     163   -12.5    -13.5   0.230   easterly
   60     176   -11.4    -12.6   0.381   westerly
   59     243   -10.4    -11.9   0.272   westerly
   58     259    -9.3    -11.0   0.199   westerly
   56     285    -8.2    -10.0   0.067   westerly
   55     165    -7.0     -8.1   0.406   westerly
   54      18    -5.9     -6.0   0.934   westerly
   52    -130    -4.7     -4.7   0.998   westerly
   51   -1407    -3.5     -3.5   1.000   westerly
   50   -1749    -2.3     -2.3   0.911   westerly
   49   -1245    -1.1     -1.1   1.000   westerly
   48   -1307     0.1      0.1   1.000   westerly
   46   -1457     1.3      1.3   1.000   westerly
   45   -1811     2.5      2.5   0.945   westerly
   44   -2184     3.7      3.7   0.983   westerly
   42   -2552     4.9      4.9   1.000   westerly
   41   -2318     6.1      6.1   1.000   westerly
